indicator,country_name,unit,FINAL_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Final consumption expenditure of general government,Luxembourg,"Chain linked volumes, index 2010=100",LUX_GCR_ESTAT,73.977,79.029,81.624,83.554,86.223,88.804,88.885,89.246,92.11,96.357,100,102.807,106.754,111.08,112.34,114.51,115.779,120.46,126.95,130.213,140.061,146.773,152.705,155.137,162.755,NA
Final consumption expenditure of general government,Hungary,"Chain linked volumes, index 2010=100",HUN_GCR_ESTAT,83.498,86.818,91.584,96.253,97.085,99.028,100.816,96.513,99.461,100.19,100,100.374,99.007,102.091,107.356,109.448,110.204,113.229,115.276,122.154,121.793,124.512,128.03,132.257,129.844,NA
Final consumption expenditure of general government,Malta,"Chain linked volumes, index 2010=100",MLT_GCR_ESTAT,79.318,80.709,83.784,87.294,87.766,86.989,90.092,91.767,103.217,99.591,100,103.538,109.689,111.543,122.359,131.912,139.232,148.568,161.411,176.097,197.219,208.203,207.819,215.705,235.767,NA
Final consumption expenditure of general government,Netherlands,"Chain linked volumes, index 2010=100",NLD_GCR_ESTAT,72.553,75.587,78.895,81.144,81.028,82.059,88.833,91.709,94.439,99.031,100,99.68,98.617,98.519,99.275,99.105,100.453,101.759,103.523,106.394,108.099,113.137,114.573,117.772,121.992,125.218
Final consumption expenditure of general government,Austria,"Chain linked volumes, index 2010=100",AUT_GCR_ESTAT,86.034,85.64,86.261,87.124,88.437,90.257,93.341,94.622,98.059,99.949,100,99.974,99.922,100.607,101.341,102.247,103.702,104.339,105.363,106.698,105.826,114.008,114.012,114.752,119.13,NA
Final consumption expenditure of general government,Poland,"Chain linked volumes, index 2010=100",POL_GCR_ESTAT,70.367,73.045,74.546,77.16,80.131,82.911,87.507,90.267,94.245,97.304,100,98.221,97.915,100.331,104.296,106.791,108.878,111.872,115.792,123.314,129.29,135.718,136.497,142.706,155.119,NA
Final consumption expenditure of general government,Portugal,"Chain linked volumes, index 2010=100",PRT_GCR_ESTAT,85.445,88.607,90.936,92.597,95.142,97.797,97.44,97.974,98.504,101.243,100,96.208,92.803,90.805,90.388,91.057,91.949,92.053,92.539,94.474,94.851,98.44,100.071,101.85,103.343,NA
Final consumption expenditure of general government,Romania,"Chain linked volumes, index 2010=100",ROU_GCR_ESTAT,112.912,108.595,105.848,92.739,93.726,100.455,97.995,100.115,106.025,101.725,100,98.513,105.606,103.857,109.576,107.667,108.001,112.608,116.973,125.314,128.53,128.048,126.261,131.249,132.846,NA
Final consumption expenditure of general government,Slovenia,"Chain linked volumes, index 2010=100",SVN_GCR_ESTAT,76.726,78.805,81.212,83.326,86.386,88.893,91.656,93.288,97.935,100.18,100,99.447,96.861,94.938,94.739,96.983,99.26,100.133,102.405,104.395,108.652,115.381,114.696,117.056,125.62,NA
Final consumption expenditure of general government,Slovakia,"Chain linked volumes, index 2010=100",SVK_GCR_ESTAT,69.787,72.138,73.656,76.635,74.744,79.513,87.142,87.46,92.586,97.851,100,96.967,96.593,97.829,100.905,106.059,108.607,109.731,109.469,114.647,113.593,117.799,114.383,111.511,115.938,NA
